wordText,lyricsRank,newYorkTimesRank,rank,googleBooksRank,happs,stdDev,twitterRank
unlike,-1,2951,9140,2501,4.04,1.4136,-1
welt,3152,-1,9141,-1,4.04,1.6283,-1
worm,4768,-1,9142,-1,4.04,1.6655,-1
rust,4022,-1,9143,-1,4.02,1.6307,-1
distant,1899,-1,9144,2582,4.02,1.5342,-1
affair,2655,3896,9145,3686,4.02,1.8349,-1
aint,533,-1,9146,-1,4.02,1.4356,550
block,707,1696,9147,2020,4.02,1.4213,1694
consequences,-1,4173,9148,1903,4.02,1.3169,-1
dropping,3982,-1,9149,-1,4.02,1.0971,3798
ending,1586,2183,9150,4083,4.02,1.4213,2021
goodbyes,4702,-1,9151,-1,4.02,1.9005,-1
hasn't,-1,-1,9152,-1,4.02,1.1865,-1
imprecisely,-1,2989,9153,-1,4.02,1.505,-1
incident,-1,2272,9154,3017,4.02,1.3923,-1
investigation,-1,882,9155,2131,4.02,1.4776,-1
off,134,200,9156,216,4.02,1.3013,91
strife,4594,-1,9157,-1,4.02,1.8349,-1
strikes,3200,4453,9158,-1,4.02,1.3626,-1
weren't,-1,-1,9159,-1,4.02,1.1516,-1
ain't,-1,-1,9160,-1,4,1.2778,-1
alleged,-1,-1,9161,4557,4,1.7496,-1
arafat,-1,4433,9162,-1,4,1.5518,-1
bum,2607,-1,9163,-1,4,1.7261,4276
ceased,-1,-1,9164,4075,4,1.4428,-1
cracks,3084,-1,9165,-1,4,1.3553,-1
creeping,3365,-1,9166,-1,4,1.4577,-1
defensive,-1,2211,9167,-1,4,1.5253,-1
didn't,-1,-1,9168,-1,4,1.2936,-1
didnt,2898,-1,9169,-1,4,1.2454,762
downs,4334,-1,9170,-1,4,1.7143,-1
force,1302,586,9171,404,4,1.6903,1751
least,1073,404,9172,313,4,1.069,435
limits,-1,2557,9173,1859,4,1.1952,-1
racial,-1,2895,9174,3272,4,1.7261,-1
ridiculous,-1,-1,9175,-1,4,1.7957,2273
rip,1288,-1,9176,-1,4,1.5518,1520
roughly,-1,4025,9177,4661,4,1.2122,-1
twit,-1,-1,9178,-1,4,1.7613,2892
zombies,-1,-1,9179,-1,4,2.3733,4708
accidentally,-1,-1,9180,-1,3.98,1.237,4580
avoided,-1,-1,9181,3874,3.98,1.5185,-1
bite,1318,-1,9182,-1,3.98,1.7201,2625
breaking,851,3580,9183,3334,3.98,1.4913,1279
demands,-1,3130,9184,1864,3.98,1.3169,-1
diagnosis,-1,-1,9185,2200,3.98,1.8897,-1
fled,-1,4623,9186,-1,3.98,1.1692,-1
hardly,1865,3057,9187,1423,3.98,1.2534,3583
humidity,-1,-1,9188,-1,3.98,1.6962,1928
isnt,-1,-1,9189,-1,3.98,1.2696,1911
old,188,279,9190,152,3.98,1.7553,212
punks,3839,-1,9191,-1,3.98,1.9742,-1
terminal,-1,4355,9192,3878,3.98,2.0353,-1
ruins,4822,-1,9193,-1,3.98,1.7617,-1
cracked,3403,-1,9194,-1,3.98,1.9295,-1
slam,2716,-1,9195,-1,3.98,1.6351,-1
argh,-1,-1,9196,-1,3.96,1.428,3185
bang,793,-1,9197,-1,3.96,1.4841,2086
bye,885,-1,9198,-1,3.96,1.4978,1233
closing,2292,1799,9199,4275,3.96,1.0872,2661
dagger,-1,4460,9200,-1,3.96,1.3242,-1
expense,-1,3198,9201,2672,3.96,1.2447,-1
fists,4101,-1,9202,-1,3.96,1.6532,-1
iraqi,-1,2113,9203,-1,3.96,1.3991,-1
loose,930,-1,9204,3423,3.96,1.6532,2766
minus,-1,-1,9205,-1,3.96,1.4978,4636
slugs,3517,-1,9206,-1,3.96,1.6408,-1
strike,1912,1641,9207,2521,3.96,1.3547,3697
tough,1176,1801,9208,-1,3.96,1.4136,1515
trial,4278,832,9209,1559,3.96,1.6898,2591
unclear,-1,4018,9210,-1,3.96,1.428,-1
killa,2130,-1,9211,-1,3.96,1.9045,-1
skull,3645,-1,9212,-1,3.96,1.6325,-1
charges,-1,590,9213,2765,3.94,1.5308,4033
darker,4023,-1,9214,-1,3.94,1.8996,-1
erroneously,-1,4952,9215,-1,3.94,1.5174,-1
mess,893,-1,9216,-1,3.94,1.5703,1482
pakistan,-1,3427,9217,4845,3.94,1.1502,4106
reluctant,-1,-1,9218,-1,3.94,1.3763,-1
slumdog,-1,-1,9219,-1,3.94,1.7775,4240
strapped,2722,-1,9220,-1,3.94,1.544,-1
dizzy,3346,-1,9221,-1,3.94,1.7249,-1
executed,-1,-1,9222,3895,3.94,2.2023,-1
honky,4056,-1,9223,-1,3.94,2.0567,-1
homework,-1,-1,9224,-1,3.92,1.8165,1168
nixon,-1,4250,9225,-1,3.92,1.7361,-1
omitted,-1,1802,9226,-1,3.92,1.2095,-1
stained,3958,-1,9227,-1,3.92,1.8277,-1
ughh,-1,-1,9228,-1,3.92,1.3068,4089
jaded,4818,-1,9229,-1,3.92,1.6563,-1
dusty,3742,-1,9230,-1,3.92,1.699,-1
absent,-1,-1,9231,3580,3.9,1.2657,-1
alarm,3414,-1,9232,-1,3.9,1.6568,2113
artificial,-1,-1,9233,3395,3.9,1.5682,-1
defendant,-1,4563,9234,3841,3.9,1.632,-1
dim,3052,-1,9235,-1,3.9,1.3439,-1
doesnt,-1,-1,9236,-1,3.9,1.3887,1457
impose,-1,4406,9237,-1,3.9,1.1294,-1
iraq,-1,858,9238,-1,3.9,1.6568,3856
issues,-1,560,9239,888,3.9,1.374,1512
killas,4851,-1,9240,-1,3.9,1.8434,-1
misses,-1,-1,9241,-1,3.9,1.374,4901
neediest,-1,4309,9242,-1,3.9,1.5682,-1
nothing,140,714,9243,288,3.9,1.2817,352
opponent,-1,4039,9244,-1,3.9,1.5419,-1
quit,1177,-1,9245,-1,3.9,1.4604,1918
slipping,2311,-1,9246,-1,3.9,1.4463,-1
stop,166,971,9247,1369,3.9,1.3439,286
bald,4739,-1,9248,-1,3.9,1.9284,-1
begged,4820,-1,9249,-1,3.9,1.6739,-1
dropped,1928,1608,9250,2928,3.88,1.0029,2054
drunk,1140,-1,9251,-1,3.88,2.2464,1006
mortgage,-1,2837,9252,-1,3.88,1.9445,3740
nooo,-1,-1,9253,-1,3.88,1.3797,4530
shout,912,-1,9254,-1,3.88,1.3797,1781
artillery,-1,-1,9255,4811,3.88,1.5361,-1
goddamn,3213,-1,9256,-1,3.88,2.1759,-1
rags,4574,-1,9257,-1,3.88,1.5361,-1
restless,2101,-1,9258,-1,3.88,1.7033,-1
uncertain,-1,-1,9259,4295,3.88,1.1481,-1
fiends,3781,-1,9260,-1,3.88,1.9199,-1
ass,311,-1,9261,-1,3.86,1.8627,283
farewell,3185,-1,9262,-1,3.86,2.1286,-1
fuckin,688,-1,9263,-1,3.86,2.7405,1077
hang,678,-1,9264,-1,3.86,1.325,1241
not,51,24,9265,22,3.86,1.2938,30
sanctions,-1,3113,9266,-1,3.86,1.7844,-1
stopped,1415,1931,9267,1922,3.86,1.2291,1674
subjected,-1,-1,9268,4480,3.86,1.3999,-1
tremble,4130,-1,9269,-1,3.86,1.7263,-1
voodoo,3469,-1,9270,-1,3.86,2.0405,-1
wouldnt,-1,-1,9271,-1,3.86,1.1068,2888
slipped,2672,-1,9272,-1,3.86,1.5811,-1
mold,4421,-1,9273,-1,3.85,1.7982,-1
shiver,3559,-1,9274,-1,3.85,1.4874,-1
allegations,-1,3641,9275,-1,3.84,1.4479,-1
armed,4974,2559,9276,2495,3.84,1.8556,-1
ended,2688,748,9277,2529,3.84,1.4479,1978
excuses,3776,-1,9278,-1,3.84,1.5167,-1
gripe,-1,-1,9279,-1,3.84,1.8666,3028
lawyer,-1,581,9280,4340,3.84,1.4194,-1
